token,alias_of
ไร่คุณธรรม อ.มวกเหล็ก จ.สระบุรี,ไร่คุณธรรม อ.หมวกเหล็ก จ.สระบุรี
ฟาร์มเฮ้าส์ โรงงานลาดกระบัง 1,ฟาร์มเฮ้าส์ โรงงานลาดกระบัง
สยามย่านมิตรทาวน์,สามย่าน มิตรทาวน์
๋Jagota บางเสาธง,Jagota (บางเสาธง)
Food Tech Factory,Food Tech Fatory
โทโดเครุ พระราม9Todokeru Foods,โทโดเครุ พระรามTodokeru Foods 9
PACJ สุวิทวงศ์,PACJ สุวินทวงศ์
เซปเป้ คลอง 13,เซ็ปเป้ คลอง13
Havi (Bangna) (Pre - cool),Havi (Bangna) (Pre - cool - 18)
โนมิมาโซ่,โนมิมาโซ
เอสพลานาด,เอสพานาด
แฟชั่นไอส์แลนด์,แฟชั่น ไอซ์แลนด์
เซ็นทรัล เวสต์เกต,เซ็นทรัล เวสเกต
โรงงานน้ำตาลมิตรผล สุพรรณบุรี (4W*2),โรงงานน้ำตาลมิตรผล สุพรรณบุรี
CK นวนคร (อาหารเบทเทอร์) (≤ 30),CK นวนคร (อาหารเบทเทอร์)
PACJ สุวินทวงศ์,Jpac สุวินทวงศ์
แฟชั่น ไอซ์แลน,แฟชั่น ไอซ์แลนด์
ห้องเย็นศักดิ์สวัสดิ์,ห้องเย็นศักดิ์สวัส
จริงหมูกระทะ,จริงใจหมูกระทะ
SK Food,S.K. Foods
เซ็นทรัล รามอินทรา,เซ็นทรัล รามอินทรา (CRI)
ย่างเนยบางแค,บ่างเนยบางแค
Food Classic,Food Calssic
ฟู้ดแพทชั่น,ฟู้ดแพชชั่น
ซีคอนสแคว,ซีคอนสแควร์
ไทยฮอกไกได,ไทยฮอกไกโด
ขนเศษหมู/เศษเนื้อ/หัวปลา มากุโระ,ขนเศษหมู/เศษเนื้อ/หัวปลาฯ มากุโระ
NextDay/โชคสมุทร - จริงใจหมูกะทะ,NextDay/โชคสมุทร - จริงใจหมูกระทะ
โรงงานแปรูปไข่บ้านนา (นครนายก),โรงงานแปรรูปไข่บ้านนา นครนายก
Thai Excel Food สมุทรปราการ,Thai Excel Foods สมุทรปราการ
กระทิงแดง ปราจีนบุรี,บ.กระทิงแดง (ปราจีนบุรี)
ไทยโคโค่นัท ราชบุรี,ไทยโคโคนัท ราชบุรี
ทริปเปิ้ล พี ฟู้ดส์,ทริปเปิล พี ฟู้ดส์
บจก. ฮั่วเซ่งเฮง นครปฐม,ฮั่วเซ่งฮง นครปฐม
ซิลลิค ฟาร์ม่า กม.23,ซิลลิค ฟาร์มา กม.23
โมเดิร์น ฟาร์ม่า,โมเดิร์น ฟาร์มา
มนต์โลจิสติกส์อ,มนต์โลจิสติกส์
๋JPAC สุวินทวงศ์,Jpac สุวินทวงศ์
DC Makro Wamgnoi (แมคโครวังน้อย),DC Makro Wang Noi (แมคโครวังน้อย)
DC Makro Mahachai (แม็คโคมหาชัย),DC Makro Mahachai (แมคโครมหาชัย)
Jebsen & Jessen Ingredients (WH),Jebsen & Jessen Ingredients
บ.อัครากรุ๊ป (บ้านนา นครนายก),บ.อัครากรุ๊ป จำกัด บ้านนา นครนายก
Passione Shopping Destination ระยอง (PRY),Passione Shopping Destination ระยอง
CP บางน้ำเปรี้ยว (Pre - Cool),CP บางน้ำเปรี๊ยว (Pre - cool)
