token,canonical,score,freq_token,freq_canonical
รับคืนเศษหมู มากุโระ Route008,รับคืนเศษหมู มากุโระ Route002,96.3,1,2
รับคืนเศษหมู มากุโระ Route005,รับคืนเศษหมู มากุโระ Route002,96.3,1,2
รับคืนเศษหมู มากุโระ Route008,รับคืนเศษหมู มากุโระ Route005,96.3,1,1
รับคืนหัวปลา มากุโระ Route003,รับคืนหัวปลา มากุโระ Route008,96.3,1,2
NSL Food ชลบุรี อมตะนครเฟส7,NSL Food ชลบุรี อมตะนคร เฟส 8,95.8,2,5
รับคืนเศษหมู Route 007,รับคืนเศษหมู Route 005,95.0,1,1
ดีพลัส สุขสวัสดิ์ 86,ดีพลัส สุขสวัสดิ์,94.1,1,12
มากุโระ Route003,มากุโระ Route007,93.3,73,92
เซ็นทรัลพระราม2,เซ็นทรัลพระราม3,93.3,1,6
มากุโระ Route004,มากุโระ Route007,93.3,72,92
มากุโระ Route001,มากุโระ Route007,93.3,76,92
เซ็นทรัลพระราม2,เซ็นทรัล พระราม9,93.3,1,37
เซ็นทรัลพระราม3,เซ็นทรัล พระราม9,93.3,6,37
มากุโระ Route004,มากุโระ Route003,93.3,72,73
มากุโระ Route004,มากุโระ Route001,93.3,72,76
มากุโระ Route003,มากุโระ Route001,93.3,73,76
BCS กม.18,BCS2 กม.18,93.3,1,18
ครัวการบินไทย (สนามบินสุวรรณภูมิ),คลังการบินไทย สนามบินสุวรรณภูมิ,93.3,1,3
สามมิตร,สยามมิตร,93.3,1,5
สุราษฎร์ธานี,CP สุราษฎร์ธานี,92.3,1,2
TUF โรงกุ้ง - โอคินอส,TUFโรงกุ้ง/OKSโอคินอส,91.9,1,8
เซ็นทรัล แจ้งวัฒนะ (CCW),เซ็นทรัล แจ้งวัฒนะ,91.9,12,1148
G - FORTUNE BKK 2,G FORTUNE 2 (BKK),91.7,28,60
ซีคอนสแควร์ (SS),ซีคอนสแควร์,91.7,11,171
โลตัส พระราม3,โลตัส พระราม4,91.7,59,173
นิชิฮาระ กม.18,นิชิฮาระ กม.16,91.7,1,9
G - FORTUNE BKK 3,G - FORTUNE BKK 2,91.7,10,28
G - FORTUNE BKK 3,G FORTUNE 2 (BKK),91.7,10,60
Sushiro (3สาขา),Sushiro (6สาขา),91.7,1,4
ICD ลาดกระบัง,ICT ลาดกระบัง,91.7,1,1
โอคินอสฟู้ด (OKF) /TUF,โอคินอสฟู้ด (OKF),90.3,4,270
PCS (ห้องเย็นแปซิฟิค) /PACT,PCS (ห้องเย็นแปซิฟิค),90.0,13,5376
