stage,source_file,rows,distinct_jobs,price_sum,contractor_cost_sum,matches_xlsx
xlsx,Report AR_AP_01.xlsx,2927,2927,13138304.77,5678273.36,OK
xlsx,Report AR_AP_02.xlsx,2859,2859,11585603.73,4429816.15,OK
xlsx,Report AR_AP_03.xlsx,3230,3230,13355694.46,5178215.70,OK
xlsx,Report AR_AP_04.xlsx,3275,3275,15523283.04,6750530.80,OK
xlsx,Report AR_AP_05.xlsx,3593,3593,17682713.23,7520595.04,OK
xlsx,Report AR_AP_06.xlsx,3514,3514,16850207.25,7448242.01,OK
xlsx,Report AR_AP_07.xlsx,3552,3552,16104174.60,7336090.43,OK
xlsx,Report AR_AP_08.xlsx,3844,3844,16432778.74,7496527.65,OK
xlsx,Report AR_AP_09.xlsx,2798,2798,13595854.05,3877114.15,OK
xlsx,Report AR_AP_09_2025.xlsx,66,66,192798.25,19310.0,OK
xlsx,Report AR_AP_10_2025.xlsx,2729,2729,11678287.80,1081330.0,OK
xlsx,Report AR_AP_11_2025.xlsx,2732,2732,11877622.12,3042058.64,OK
xlsx,Report AR_AP_12_2025.xlsx,2850,2850,13006904.76,5892204.62,OK
trips_raw,Report AR_AP_01.xlsx,2927,2927,13138304.77,5678273.36,OK
trips_raw,Report AR_AP_02.xlsx,2859,2859,11585603.73,4429816.15,OK
trips_raw,Report AR_AP_03.xlsx,3230,3230,13355694.46,5178215.70,OK
trips_raw,Report AR_AP_04.xlsx,3275,3275,15523283.04,6750530.80,OK
trips_raw,Report AR_AP_05.xlsx,3593,3593,17682713.23,7520595.04,OK
trips_raw,Report AR_AP_06.xlsx,3514,3514,16850207.25,7448242.01,OK
trips_raw,Report AR_AP_07.xlsx,3552,3552,16104174.60,7336090.43,OK
trips_raw,Report AR_AP_08.xlsx,3844,3844,16432778.74,7496527.65,OK
trips_raw,Report AR_AP_09.xlsx,2798,2798,13595854.05,3877114.15,OK
trips_raw,Report AR_AP_09_2025.xlsx,66,66,192798.25,19310.0,OK
trips_raw,Report AR_AP_10_2025.xlsx,2729,2729,11678287.80,1081330.0,OK
trips_raw,Report AR_AP_11_2025.xlsx,2732,2732,11877622.12,3042058.64,OK
trips_raw,Report AR_AP_12_2025.xlsx,2850,2850,13006904.76,5892204.62,OK
trips_parsed,Report AR_AP_01.xlsx,2927,2927,13138304.77,5678273.36,OK
trips_parsed,Report AR_AP_02.xlsx,2859,2859,11585603.73,4429816.15,OK
trips_parsed,Report AR_AP_03.xlsx,3230,3230,13355694.46,5178215.70,OK
trips_parsed,Report AR_AP_04.xlsx,3275,3275,15523283.04,6750530.80,OK
trips_parsed,Report AR_AP_05.xlsx,3593,3593,17682713.23,7520595.04,OK
trips_parsed,Report AR_AP_06.xlsx,3514,3514,16850207.25,7448242.01,OK
trips_parsed,Report AR_AP_07.xlsx,3552,3552,16104174.60,7336090.43,OK
trips_parsed,Report AR_AP_08.xlsx,3844,3844,16432778.74,7496527.65,OK
trips_parsed,Report AR_AP_09.xlsx,2798,2798,13595854.05,3877114.15,OK
trips_parsed,Report AR_AP_09_2025.xlsx,66,66,192798.25,19310.0,OK
trips_parsed,Report AR_AP_10_2025.xlsx,2729,2729,11678287.80,1081330.0,OK
trips_parsed,Report AR_AP_11_2025.xlsx,2732,2732,11877622.12,3042058.64,OK
trips_parsed,Report AR_AP_12_2025.xlsx,2850,2850,13006904.76,5892204.62,OK
trips_clean,Report AR_AP_01.xlsx,2927,2927,13138304.77,5678273.36,OK
trips_clean,Report AR_AP_02.xlsx,2859,2859,11585603.73,4429816.15,OK
trips_clean,Report AR_AP_03.xlsx,3230,3230,13355694.46,5178215.70,OK
trips_clean,Report AR_AP_04.xlsx,3275,3275,15523283.04,6750530.80,OK
trips_clean,Report AR_AP_05.xlsx,3593,3593,17682713.23,7520595.04,OK
trips_clean,Report AR_AP_06.xlsx,3514,3514,16850207.25,7448242.01,OK
trips_clean,Report AR_AP_07.xlsx,3552,3552,16104174.60,7336090.43,OK
trips_clean,Report AR_AP_08.xlsx,3844,3844,16432778.74,7496527.65,OK
trips_clean,Report AR_AP_09.xlsx,2798,2798,13595854.05,3877114.15,OK
trips_clean,Report AR_AP_09_2025.xlsx,66,66,192798.25,19310.0,OK
trips_clean,Report AR_AP_10_2025.xlsx,2729,2729,11678287.80,1081330.0,OK
trips_clean,Report AR_AP_11_2025.xlsx,2732,2732,11877622.12,3042058.64,OK
trips_clean,Report AR_AP_12_2025.xlsx,2850,2850,13006904.76,5892204.62,OK
trip_table,Report AR_AP_01.xlsx,2927,2927,13138304.77,5678273.36,OK
trip_table,Report AR_AP_02.xlsx,2859,2859,11585603.73,4429816.15,OK
trip_table,Report AR_AP_03.xlsx,3230,3230,13355694.46,5178215.70,OK
trip_table,Report AR_AP_04.xlsx,3275,3275,15523283.04,6750530.80,OK
trip_table,Report AR_AP_05.xlsx,3593,3593,17682713.23,7520595.04,OK
