token,frequency,alias_of,search_query,lat,lon,place_id,formatted_address,geocode_source,geocode_confidence,verified,note,dup_coord_group,dup_coord_count,dup_coord_flag
PCS (ห้องเย็นแปซิฟิค),7432,,ห้องเย็นแปซิฟิค PCS,13.5845653,100.29124159999999,ChIJzz6wnnK54jARf8v9vQ0kQog,Unnamed Road H7MR+RFH ตำบล นาดี อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D001,10,"same coords, same place_id"
JPK (เจพีเค โคลด์ สโตเรจ),2832,,เจพีเค โคลด์ สโตเรจ JPK,13.5636453,100.75716249999999,ChIJi8zc2ApbHTERRvfQLXZp0MA,"88, 89 ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540",places,high,,,D002,3,"same coords, same place_id"
PACS (แปซิฟิค สระบุรี),2190,,แปซิฟิค สระบุรี PACS,14.7336831,100.7793616,ChIJP2yEciD9HTERFeSx5fZ9ZOs,หมู่ที่ 13 1 ถ. พหลโยธิน ตำบล พระพุทธบาท อำเภอพระพุทธบาท สระบุรี 18120,places,low,,,D005,2,"same coords, same place_id"
PACA (ALPHA Bangna KM. 22),2182,,ALPHA Bangna KM. 22 PACA,13.597183699999999,100.7956595,ChIJG3KRushDHTERdxS5Gt7oZnU,"Bangna-Trad Rd, ตำบล ศีรษะจรเข้ใหญ่ อำเภอบางเสาธง สมุทรปราการ 10540",places,high,,,D004,2,"same coords, same place_id"
BF (อาหารเบทเทอร์ อ้อมน้อย),2128,,อาหารเบทเทอร์ อ้อมน้อย BF,13.7140305,100.30722879999999,ChIJ__-_0Z2V4jARtpwKgIzzYBM,4 2 ซอยสุขาภิบาล2 ตำบล อ้อมน้อย อำเภอกระทุ่มแบน สมุทรสาคร 74130,places,high,,,,,
TUF,2089,,TUF,13.5688475,100.2711988,ChIJp9iY-IW44jARlizFR1XdQbk,H79C+GFP ตำบล ท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,low,,,D006,2,"same coords, same place_id"
UKF (สยาม ยูเคเอฟ),2057,,สยาม ยูเคเอฟ UKF,13.5440327,100.2182776,ChIJNde8ubrH4jARjJMp-lxZVng,39/91 ตำบลบางกระเจ้า อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,,,
Jpac สุวินทวงศ์,1919,,Jpac สุวินทวงศ์,13.770944799999999,100.98044259999999,ChIJJx85rFITHTERzs8-3ybiVa0,99 3 ถ. สุวินทวงศ์ ตำบลคลองนครเนื่องเขต อำเภอเมืองฉะเชิงเทรา ม.11 24000,places,medium,,,D003,5,"same coords, same place_id"
TFG (ไทยฟู้ดส์ กาญ),1757,,ไทยฟู้ดส์ กาญ TFG,14.036325199999999,99.7957828,ChIJT_QqdW0H4zAR1EMMCbFLMPk,169 ตำบล พระแท่น อำเภอท่ามะกา กาญจนบุรี 71130,places,medium,,,,,
โชคสมุทรมารีน,1611,,โชคสมุทรมารีน,13.5599296,100.30309919999999,ChIJPQAAAADH4jARRU3uAzpSsqs,57 40 ซอยสินชัย ตำบล โคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D007,4,"same coords, same place_id"
PACR รังสิต,1495,,PACR รังสิต,14.024784799999999,100.61520660000001,ChIJA5PNWACB4jARGUiEaA80nus,2JF8+X38 ถ. พหลโยธิน ตำบล คลองหนึ่ง อำเภอคลองหลวง ปทุมธานี 12120,places,high,,,D008,3,"same coords, same place_id"
