vehicle_class,method,n,n_used,base_fare,rate_per_km,drop_fee,r2,ratio_p10,ratio_p90,km_min,km_max,test_mdape_pct
ALL,Own trips,31629,29212.0,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668,0.43766221535640926,1.6305594624170328,0.745,2380.529,38.47260513774254
10W dry,Own trips,1549,1369.0,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283,0.9777446540059871,1.136179040486249,8.123,384.287,2.3047657691902828
10W dry NGV,Borrowed – few trips,14,14.0,2250.896832322326,18.72898386573178,-538.2360737505913,0.4382723436663668,0.43766221535640926,1.6305594624170328,8.123,39.997,38.47260513774254
10W reefer,Own trips,13773,13544.0,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904,0.3390568891084763,1.417237244957435,1.133,1684.054,21.279083248659873
18W dry,Own trips,937,840.0,7067.90328683544,30.73348355012338,0.0,0.9592571780244914,0.8828260645442649,1.0998290307918435,28.05,908.426,2.431567536613896
18W head,Borrowed – few trips,20,20.0,4324.471831074874,35.982530158190194,-1034.0708227845878,0.4382723436663668,0.43766221535640926,1.6305594624170328,59.35,291.168,38.47260513774254
18W reefer,Own trips,422,416.0,7439.853835880463,28.145904505547605,0.0,0.7311563645912916,0.8927353884548778,1.0653521518957279,37.86,288.48400000000004,2.7484821422982924
22W dry,Own trips,747,740.0,8165.611196365036,25.66113708419931,-1264.5383801662686,0.4742410262500326,0.9558126471085567,1.0826041207045898,8.392,493.15,4.72011847084928
22W head,Own trips,2408,1883.0,6852.703056068138,21.83802681857419,-2037.8203235556668,0.5776754671655635,0.8042117377195933,1.1932969105705384,0.745,1027.2189999999998,12.83054317985634
22W reefer,Own trips,110,97.0,7386.715035215311,32.842418173978245,0.0,0.9973128584992144,0.9806222629915576,1.031658437805361,38.801,932.359,6.235603490368168
4W dry,Own trips,443,387.0,1846.8841823251846,9.961789196478712,41.53794054981367,0.9779436733847268,0.890651521967948,1.0431713655517756,9.452,1028.135,3.945196493944344
4W reefer,Own trips,8875,7992.0,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822,0.7781936806576344,1.2605160897503116,1.007,2380.529,14.245653564806366
6W dry,Own trips,56,51.0,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843,0.5984615024961736,1.483144855687415,3.619,986.32,48.24783936617546
6W dry trailer,Borrowed – few trips,11,11.0,2683.6537573132655,22.3298141434912,-641.7172217315875,0.4382723436663668,0.43766221535640926,1.6305594624170328,49.482,1028.135,38.47260513774254
6W reefer,Own trips,2264,2215.0,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945,0.7546647120035697,1.3078728828667654,2.702,1254.069,14.775895260330113
