band,n,median_price,p10,p90,median_km,median_baht_per_km,vehicle_class,method,base_fare,rate_per_km,drop_fee,r2
0-25,6313,2130.0,1250.0,3300.0,14.842,148.24478178368122,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
25-50,3626,2708.0,1900.0,5324.5,36.706,76.43116102219471,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
50-100,10097,4052.0,1273.0,7700.0,61.162,60.09249680520903,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
100-200,9007,6048.0,2561.5,11583.0,131.529,47.28982856683482,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
200-400,1929,8500.0,3194.0,17500.0,249.979,36.28741339048245,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
400-800,382,8319.0,2355.75,18844.400000000052,643.223,12.321124141137574,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
800-1500,264,14000.0,2500.0,36731.0,942.283,13.616888832692204,ALL,Own trips,2703.039208708946,22.49111420896112,-646.3526848488948,0.4382723436663668
0-25,1169,2130.0,1800.0,2130.0,21.212,100.41485951348294,10W dry,Own trips,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283
25-50,33,3000.0,3000.0,3000.0,39.997,75.00562542190664,10W dry,Own trips,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283
50-100,43,6700.0,3460.2000000000003,6700.0,81.712,80.16463662686353,10W dry,Own trips,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283
100-200,296,7100.0,3750.0,7500.0,130.619,54.35656374646874,10W dry,Own trips,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283
200-400,8,18302.0,18102.7,18393.0,384.287,47.86266514349952,10W dry,Own trips,1215.4825018879733,45.398849169407,-87.7495186255235,0.9967880287210283
0-25,4,2130.0,1899.0,2130.0,21.5905,98.68482972943025,10W dry NGV,Borrowed – few trips,2250.896832322326,18.72898386573178,-538.2360737505913,0.4382723436663668
25-50,10,3000.0,3000.0,3000.0,39.997,75.00562542190664,10W dry NGV,Borrowed – few trips,2250.896832322326,18.72898386573178,-538.2360737505913,0.4382723436663668
0-25,3684,2200.0,1250.0,3400.0,12.361,154.86311017821805,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
25-50,1257,3800.0,2600.0,6500.0,29.918,127.54673916691841,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
50-100,5126,4433.0,1200.0,6900.0,57.575,74.55686242027664,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
100-200,3097,6048.0,4532.0,8050.0,129.928,47.79570223508405,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
200-400,513,9578.0,8500.0,12866.0,266.188,40.88951122988716,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
400-800,78,15200.0,1362.9,26650.0,575.385,34.98754835261255,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
800-1500,16,28080.0,14000.0,44500.0,827.353,34.661103773468454,10W reefer,Own trips,2028.9239586597719,33.18406461871149,289.3396485479851,0.6823533953875904
25-50,16,3700.0,3700.0,10217.5,48.67,76.02219026094103,18W dry,Own trips,7067.90328683544,30.73348355012338,0.0,0.9592571780244914
50-100,614,8570.0,7500.0,9483.0,50.575,169.451309935739,18W dry,Own trips,7067.90328683544,30.73348355012338,0.0,0.9592571780244914
100-200,126,11160.0,2500.0,13905.0,140.198,76.84123418843835,18W dry,Own trips,7067.90328683544,30.73348355012338,0.0,0.9592571780244914
200-400,172,18762.0,17500.0,20932.58,384.287,48.82288497919524,18W dry,Own trips,7067.90328683544,30.73348355012338,0.0,0.9592571780244914
