,km,10W reefer,4W reefer,22W head,22W dry,18W dry,4W dry,6W reefer,10W dry,18W reefer,6W dry,18W head,10W dry NGV,22W reefer
0-10,5,"2,158","2,345","10,891*","6,879*","5,296*","1,976*","5,526","1,802*","3,708*","1,273*","2,986*","1,676*","3,537*"
11-20,15,"2,503","2,383","10,898*","7,216*","5,656*","2,072*","5,549","2,103","4,327*","1,486*","3,484*","1,956*","4,127*"
21-30,25,"2,849","2,421","10,904*","7,553*","6,016*","2,168*","5,572","2,404","4,946*","1,698*","3,983*","2,236*","4,717*"
31-50,40,"3,367","2,478","10,914*","8,059*","6,556*","2,312","5,607","2,855","5,874*","2,017","4,730*","2,656*","5,602*"
51-100,75,"4,576","2,611","10,937","9,239","7,815","2,648","5,687","3,908","8,040*","2,760","6,474*","3,635*","7,668*"
101-150,125,"6,303","2,801","10,970","10,924","9,613","3,128","5,802","5,412","11,134","3,823","8,965","5,033*","10,619*"
151-200,175,"8,030","2,991","11,002","12,609","11,412","3,608","5,917","6,915*","14,228*","4,885","11,457*","6,432*","13,569*"
201-300,250,"10,621","3,275","11,051","15,137","14,110","4,327","6,089","9,171*","18,869*","6,479","15,194*","8,530*","17,996*"
301-500,400,"15,803","3,845","11,149","20,192","19,506*","5,767","6,434","13,682*","28,151*","9,665","22,668*","12,726*","26,848*"
500+,650,"24,439","4,794","11,313","28,618*","28,499*","8,167","7,008*","21,201*","43,621*","14,977","35,124*","19,720*","41,602*"
