bill_no,job_order_no,ship_date,source_file,status,customer,job_type,vehicle_type,route_raw,origin,destination,stops,stop_count,conditions,non_place,origin_lat,origin_lon,dest_lat,dest_lon,total_km,direct_km,km_source,fuel_rate_bracket,fuel_rate_low,fuel_rate_high,price,contractor_cost,driver_cost
2602000196,INV260210013,2026-01-31,Report AR_AP_01.xlsx,CONFIRM,อาหารเบทเทอร์ จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401566542,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401566542,13.71403,100.30723,13.71403,100.30723,,,,,,,577.64,0.0,0.0
2602000196,INV260210012,2026-01-29,Report AR_AP_01.xlsx,CONFIRM,อาหารเบทเทอร์ จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401564745,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401564745,13.71403,100.30723,13.71403,100.30723,,,,,,,566.66,0.0,0.0
2602000196,INV260210011,2026-01-20,Report AR_AP_01.xlsx,CONFIRM,อาหารเบทเทอร์ จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401558247,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401558247,13.71403,100.30723,13.71403,100.30723,,,,,,,715.43,0.0,0.0
2602000196,INV260210010,2026-01-17,Report AR_AP_01.xlsx,CONFIRM,อาหารเบทเทอร์ จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401556476,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401556476,13.71403,100.30723,13.71403,100.30723,,,,,,,1532.29,0.0,0.0
2602000195,INV260210025,2026-01-31,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401566542,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401566542,13.71403,100.30723,13.71403,100.30723,,,,,,,1291.52,0.0,0.0
2602000195,INV260210024,2026-01-30,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401565663,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401565663,13.71403,100.30723,13.71403,100.30723,,,,,,,1626.17,0.0,0.0
2602000195,INV260210023,2026-01-29,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401564745,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401564745,13.71403,100.30723,13.71403,100.30723,,,,,,,1134.27,0.0,0.0
2602000195,INV260210022,2026-01-28,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401563763,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401563763,13.71403,100.30723,13.71403,100.30723,,,,,,,1626.17,0.0,0.0
2602000195,INV260210021,2026-01-27,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401563105,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401563105,13.71403,100.30723,13.71403,100.30723,,,,,,,1626.17,0.0,0.0
2602000195,INV260210020,2026-01-24,Report AR_AP_01.xlsx,CONFIRM,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,Cold Chain Transport,รถบรรทุก 4 ล้อเย็น (น้ำมัน),BF (อาหารเบทเทอร์ อ้อมน้อย)+5401561339,BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),BF (อาหารเบทเทอร์ อ้อมน้อย),1,,5401561339,13.71403,100.30723,13.71403,100.30723,,,,,,,1626.17,0.0,0.0
