Car Type,Ori,Dest,Total KM,Per km (THB/km),Per-km price,Existing pair price,Existing pair price (min-max),Divergence (THB),Divergence (%),Trips
10W dry,BF (อาหารเบทเทอร์ อ้อมน้อย),PCS (ห้องเย็นแปซิฟิค),21.212,93.05557466113987,1973.894849712099,2130,"2,130-2,130",-156.1051502879011,-7.328880295206624,6
,KONOIKE (โคโนอิเกะ),PCS (ห้องเย็นแปซิฟิค),64.738,93.05557466113987,6024.231792412873,4800.5,"3,901-5,700",1223.731792412873,25.49175695058583,2
,PCS (ห้องเย็นแปซิฟิค),BF (อาหารเบทเทอร์ อ้อมน้อย),21.969,93.05557466113987,2044.337919730582,2130,"2,130-2,130",-85.66208026941808,-4.021693909362352,1
,,KGS (เคียวคุโย โกลบอล),8.123,93.05557466113987,755.8904329724392,1800,"1,800-1,800",-1044.1095670275608,-58.00608705708671,1
,,TAKO (ทาโกฟู้ดส์),39.997,93.05557466113987,3721.9438197216114,3000,"3,000-3,000",721.9438197216114,24.06479399072038,1
,คลังชิน,โคแพค,130.619,93.05557466113987,12154.82610666343,7100,"7,100-7,100",5054.8261066634295,71.19473389666801,1
,คลังสินค้าชิน (ไทยออซัม),Zion Cargo Company Limited,134.707,93.05557466113987,12535.237295878169,7600,"7,600-7,600",4935.237295878169,64.93733284050222,1
,สุรเชษฐ์ (กาญจนบุรี),PCS (ห้องเย็นแปซิฟิค),102.852,93.05557466113987,9570.951965047558,7000,"7,000-7,000",2570.9519650475577,36.72788521496511,1
10W dry NGV,BF (อาหารเบทเทอร์ อ้อมน้อย),PCS (ห้องเย็นแปซิฟิค),21.212,100.41485951348294,2130,2130,"2,130-2,130",0,0,1
10W reefer,ALLCOCO (ออล โคโค กรุ๊ป),PCS (ห้องเย็นแปซิฟิค),25.825,93.04679713676653,2402.9335360569953,3400,"3,400-3,400",-997.0664639430047,-29.325484233617782,7
,BF (อาหารเบทเทอร์ อ้อมน้อย),PCS (ห้องเย็นแปซิฟิค),21.212,93.04679713676653,1973.7086608650916,2937.3609574468082,"2,841-2,991",-963.6522965817167,-32.8067374266231,94
,CK นวนคร (อาหารเบทเทอร์),PACR,21.425,93.04679713676653,1993.527628655223,3981.31,"3,981-3,981",-1987.782371344777,-49.92784714942511,2
,DC Makro Mahachai (แมคโครมหาชัย),โชคสมุทรมารีน,25.421,93.04679713676653,2365.3426300137417,4900,"4,900-4,900",-2534.6573699862583,-51.727701428290985,1
,JPK (เจพีเค โคลด์ สโตเรจ),ไอ - เทล คอร์ปอเรชั่น,67.827,93.04679713676653,6311.085109395463,6000,"6,000-6,000",311.0851093954634,5.184751823257724,1
,Jpac สุวินทวงศ์,มาร์ส เพ็ทแคร์ (ประเทศไทย) จำกัด - ชลบุรี,50.575,93.04679713676653,4705.841765191967,4770,"4,770-4,770",-64.15823480803283,-1.3450363691411493,2
,LUF (ลัคกี้ ยูเนี่ยน ฟู้ดส์),Linfox DC (บางบ่อ),71.029,93.04679713676653,6609.020953827389,7182,"7,000-7,350",-572.9790461726107,-7.977987276143283,5
,,KF Foods,10.097,93.04679713676653,939.4935106899316,2912,"2,912-2,912",-1972.5064893100684,-67.73717339663696,1
,PACK (บางนา กม.19),TFG (ไทยฟู้ดส์ กาญ),160.654,93.04679713676653,14948.34014721009,7350,"7,350-7,350",7598.34014721009,103.37877751306246,1
,PACR/PACS,TUM,68.685,93.04679713676653,6390.9192613388095,1000,"1,000-1,000",5390.9192613388095,539.091926133881,13
,PACS (แปซิฟิค สระบุรี),คาร์กิลล์ สระบุรี,15.68,93.04679713676653,1458.973779104499,4300,"4,300-4,300",-2841.026220895501,-66.07037723012793,5
,,Nestle ระยอง,266.188,93.04679713676653,24767.940836241607,12000,"12,000-12,000",12767.940836241607,106.39950696868006,4
,,PACS (แปซิฟิค สระบุรี),257.966,93.04679713676653,24002.910070183116,6437.5,"5,500-6,750",17565.410070183116,272.8607389543008,4
,,อินาบะ,57.575,93.04679713676653,5357.169345149333,1200,"1,200-1,200",4157.169345149333,346.4307787624444,2
,,โอสถสภา,137.285,93.04679713676653,12773.929544920993,4200,"4,200-4,200",8573.929544920993,204.14117964097605,2
,PACS/PACR,I - Tail,80.061,93.04679713676653,7449.419625566666,1000,"1,000-1,000",6449.419625566666,644.9419625566666,2
,PCS (สินค้า),PCS (ห้องเย็นแปซิฟิค),54.763,93.04679713676653,5095.521751600745,3510,"3,510-3,510",1585.5217516007451,45.1715598746651,2
,PCS (ห้องเย็นแปซิฟิค),PCS (ห้องเย็นแปซิฟิค),54.818,93.04679713676653,5100.639325443268,3497.1326470588237,"3,065-4,350",1603.506678384444,45.85204052048278,34
,,BF (อาหารเบทเทอร์ อ้อมน้อย),21.969,93.04679713676653,2044.145086297624,2928.9695,"2,878-2,991",-884.8244137023762,-30.209410296091377,20
